City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,kupang,ID,80.01,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
222,karachi,PK,76.82,haze,24.9056,67.0822,Sadaat
226,coahuayana,MX,87.96,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
234,manoel urbano,BR,84.18,moderate rain,-8.8389,-69.2597,Baixada Beira Rio
239,kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
240,nsawam,GH,77.05,light rain,5.8089,-0.3503,Duapa Lodge
242,sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
249,kavieng,PG,81.46,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
263,kita,ML,86.07,light rain,13.0349,-9.4895,Hôtel Chat Rouge
265,chuy,UY,83.01,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
271,garowe,SO,79.2,clear sky,8.4054,48.4845,Curubo Hotel
272,sarishabari,BD,75.47,clear sky,24.7333,89.8333,Bangali Telecom
276,bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
278,olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
279,chinsali,ZM,81.48,broken clouds,-10.5414,32.0816,Chisakatu Guest House
280,wanlaweyn,SO,81.14,broken clouds,2.6185,44.8938,GAASHAAN HOME
282,manadhoo,MV,81.52,broken clouds,5.7667,73.3833,Reason Inn
285,ambilobe,MG,75.76,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
289,sao filipe,CV,80.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
312,sola,VU,80.31,broken clouds,-13.8833,167.55,Leumerus Bungalows
317,lhokseumawe,ID,78.73,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
321,bol,TD,87.44,scattered clouds,13.4586,14.7147,Hotel 3 Etoiles
322,kailua,US,79.07,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
323,kendrapara,IN,77.41,few clouds,20.5042,86.416,Hotel Mayuri Palace
