,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,cherrapunji,IN,1635270947,25.3,91.7,55.08,81,0,4.81,clear sky
149,sorland,NO,1635270948,67.667,12.6934,44.46,87,92,3.13,overcast clouds
150,bredasdorp,ZA,1635270591,-34.5322,20.0403,65.52,72,99,20.71,overcast clouds
151,sorgun,TR,1635270948,39.8101,35.186,39.92,69,0,5.5,clear sky
152,vestmannaeyjar,IS,1635270948,63.4427,-20.2734,45.59,76,20,34.52,moderate rain
153,sitka,US,1635270599,57.0531,-135.33,48.09,61,90,12.66,light rain
154,manta,EC,1635270654,-0.95,-80.7333,78.58,78,90,9.22,overcast clouds
155,saint-augustin,CA,1635270949,51.226,-58.6502,47.57,46,3,5.03,clear sky
156,tucuman,AR,1635270949,-26.8241,-65.2226,100.4,10,0,19.57,clear sky
157,baruun-urt,MN,1635270949,46.6806,113.2792,34.39,51,0,10.87,clear sky
158,batagay-alyta,RU,1635270949,67.8006,130.4114,4.66,89,100,3.27,overcast clouds
159,quatre cocos,MU,1635270950,-20.2078,57.7625,74.08,71,29,15.57,scattered clouds
160,kimbe,PG,1635270950,-5.5502,150.1429,74.73,91,89,3.96,overcast clouds
161,cherskiy,RU,1635270951,68.75,161.3,-18.17,100,97,4.43,overcast clouds
162,mareeba,AU,1635270951,-17.0,145.4333,72.32,95,61,3.22,broken clouds
163,orchard homes,US,1635270951,46.8633,-114.0484,50.27,87,82,3.0,broken clouds
164,itaperucu,BR,1635270951,-25.22,-49.3478,76.42,43,77,3.36,broken clouds
165,mackenzie,CA,1635270952,55.2999,-123.1698,41.22,100,90,9.22,overcast clouds
166,tautira,PF,1635270952,-17.7333,-149.15,80.62,79,93,5.59,light rain
167,krasnoselkup,RU,1635270952,65.7,82.4667,23.99,96,100,14.79,light snow
168,pimentel,PE,1635270953,-6.8367,-79.9342,70.09,64,0,18.41,clear sky
169,alpena,US,1635270953,45.0617,-83.4327,46.54,76,94,11.01,overcast clouds
170,igarka,RU,1635270953,67.4667,86.5833,20.17,84,100,11.95,overcast clouds
